method,batch_size,tensor_parallel_size,n_runs,mean_time_us,min_time_us,max_time_us,range_us
FI1,16,1,5,441.64,438.34,443.55,5.21
FI1,16,2,5,322.39,321.54,323.58,2.04
FI1,16,4,4,257.81,254.08,261.15,7.07
FI1,16,8,4,217.08,215.07,219.06,3.99
FI1,64,1,5,503.37,494.75,508.03,13.28
FI1,64,2,5,385.29,383.14,386.88,3.74
FI1,64,4,4,315.9,313.26,321.57,8.31
FI1,64,8,4,259.46,258.02,262.18,4.16
FI1,256,1,5,812.09,793.71,834.58,40.87
FI1,256,2,5,689.17,669.7,731.12,61.42
FI1,256,4,4,599.32,590.8,622.56,31.76
FI1,256,8,4,567.57,564.72,571.89,7.17
FI2,16,1,5,387.68,384.96,390.14,5.18
FI2,16,2,5,268.99,268.37,270.21,1.84
FI2,16,4,4,203.83,200.7,206.74,6.04
FI2,16,8,4,165.46,164.16,166.02,1.86
FI2,64,1,5,447.37,439.22,452.7,13.48
FI2,64,2,5,330.58,329.71,331.78,2.07
FI2,64,4,4,260.64,257.9,266.38,8.48
FI2,64,8,4,205.48,203.84,208.9,5.06
FI2,256,1,5,704.83,669.65,778.16,108.51
FI2,256,2,5,579.24,565.25,620.4,55.15
FI2,256,4,4,483.95,473.62,512.0,38.38
FI2,256,8,4,454.32,450.61,462.78,12.17
FlashSampling,16,1,5,337.88,333.82,340.96,7.14
FlashSampling,16,2,5,203.82,203.78,203.87,0.09
FlashSampling,16,4,4,126.56,125.78,126.99,1.21
FlashSampling,16,8,4,110.13,87.07,176.16,89.09
FlashSampling,64,1,5,348.64,344.13,351.44,7.31
FlashSampling,64,2,5,215.94,215.86,215.98,0.12
FlashSampling,64,4,4,136.95,136.18,138.24,2.06
FlashSampling,64,8,4,117.0,96.42,175.76,79.34
FlashSampling,256,1,5,718.25,676.75,848.37,171.62
FlashSampling,256,2,5,372.66,359.46,403.55,44.09
FlashSampling,256,4,4,209.97,202.74,225.36,22.62
FlashSampling,256,8,4,173.34,149.54,183.46,33.92
Multinomial Sampling (Compiled),16,1,5,463.06,461.78,465.89,4.11
Multinomial Sampling (Compiled),16,2,5,345.73,344.1,346.14,2.04
Multinomial Sampling (Compiled),16,4,4,278.05,274.53,280.58,6.05
Multinomial Sampling (Compiled),16,8,4,242.19,241.66,243.71,2.05
Multinomial Sampling (Compiled),64,1,5,547.91,536.56,556.08,19.52
Multinomial Sampling (Compiled),64,2,5,433.93,432.13,437.22,5.09
Multinomial Sampling (Compiled),64,4,4,358.38,354.27,364.43,10.16
Multinomial Sampling (Compiled),64,8,4,313.96,313.34,315.39,2.05
Multinomial Sampling (Compiled),256,1,5,869.98,852.91,889.98,37.07
Multinomial Sampling (Compiled),256,2,5,785.23,764.45,852.05,87.6
Multinomial Sampling (Compiled),256,4,4,692.25,681.04,715.81,34.77
Multinomial Sampling (Compiled),256,8,4,690.03,689.38,690.26,0.88
